,ctx_dhs,ctx_footprint_no,ctx_sox2no,ctx_sox2score,hox,lhx,log2fc,maxcons,meancons,sc_dhs,sc_footprint_no,sc_sox2no,sc_sox2score
ENSMUSG00000022234,3656.759492535968,4.711761890208008,0.3240102914369412,3.726118351524824,0.0,0.1577704737387057,-0.18233079091847,16.918205609859854,0.7715987754760956,3010.16583681831,3.769409512166406,0.0,0.0
ENSMUSG00000022235,3644.3027073527287,4.128887137516503,0.369750805091283,4.252134258549755,0.0,0.13825326807226868,1.05156503922475,17.37626326256931,0.8262496033946891,3038.3188090009626,3.3031097100132025,0.0,0.0
ENSMUSG00000022236,3019.890747557687,1.9203777518329272,0.7949786659268635,9.14225465815893,0.0,0.06430267800535568,0.687455749292825,19.9305001425055,1.0677843233758335,2319.9806851056624,1.5363022014663419,0.0,0.0
ENSMUSG00000022237,2236.11194809905,0.7820285051005792,0.5144072562077875,5.915683446389556,0.0,0.2974944710484898,3.64697439366655,20.89750019749289,1.5750232026903612,1538.9613076545593,0.6256228040804633,0.0,0.0
ENSMUSG00000022240,1413.7857683625696,0.0,0.18132650096608702,4.623825774635219,0.0,1.3648227563106348,-0.972189156624586,7.276242209379626,0.5388171582900736,640.090877125268,0.0,0.18132650096608702,4.986478776567393
ENSMUSG00000022241,1370.2239970256467,0.0,0.4169303906560026,5.420095078528034,0.0,2.6994309678285453,-0.0459601252330225,11.554051912084871,0.5630081450795674,1456.1390948003584,0.0,0.16622782363712876,5.236176444569556
ENSMUSG00000022243,1137.9180376674972,0.0,0.34728761454270934,8.68728569487488,0.0,3.9747847101363982,-1.20894987430944,23.002177483784653,1.195640913744589,1972.062338984188,0.0,1.0570678825710007,29.46475644872496
ENSMUSG00000022244,1254.0025648784422,0.0,0.38914160362675554,9.734249494957561,0.0,3.784591996966281,0.581896939874331,24.210429688967555,1.2790380333775742,2065.286029368621,0.0,1.0447467132081592,28.614712990192047
ENSMUSG00000022245,4437.511448346886,1.9528408929649521,1.0863979241855328,61.416458320830024,0.14302554904936343,3.4851624002325563,5.44607601071218,31.531534411607065,4.214247245483621,3555.3273697517075,0.1571959755722762,0.0,0.0
ENSMUSG00000022246,2149.5695470632977,0.0,0.9452351926243018,33.05963168135543,0.0,2.101636249213423,0.858507167540012,24.826645112783936,1.1205345930758397,2142.6721613056675,0.0,1.7242680929128094,46.16393859490517
